"","consent","demo_party","demo_party_forced","demo_ideology","demo_pol_forced","demo_gender","subject_rid","age","gender","hhi","ethnicity","hispanic","education","political_party","region","zip","question","ideology","headline","headline_text","ideology_num","headline_politics","answer_num","batch","group"
"15.3...647","I CONSENT to take part in the study. I am 18 or older, and I understand my rights in this study.","Independent","Republican","somewhat conservative","Right or center-right","Other","5381216262","","","","","","","","","",3,"","Rep_3","Ocasio-Cortez Retracts Erroneous Information About Green New Deal Backed by 2020 Democratic Candidates",-99,"Rep",-1,"2","politics"
"16.3...648","I CONSENT to take part in the study. I am 18 or older, and I understand my rights in this study.","Democrat","Democrat","somewhat liberal","Left or center-left","Female","4395935228","","","","","","","","","",3,"","Rep_8","76 Percent of Viewers Approve President Trump's State of the Union Speech",-99,"Rep",1,"2","politics"
"17.3...649","I CONSENT to take part in the study. I am 18 or older, and I understand my rights in this study.","Republican","Republican","somewhat liberal","Left or center-left","Male","5070985486","","","","","","","","","",3,"more favorable to Liberals","Dem_x1","The small businesses near Trump Tower are experiencing a miniature recession",-1,"Dem",-1,"2","ideology"
"18.3...650","I CONSENT to take part in the study. I am 18 or older, and I understand my rights in this study.","Democrat","Democrat","liberal","Left or center-left","Male","1687962804","","","","","","","","","",3,"balanced / non-political","Dem_2","Undeniable Warming: The Planet's Hottest Five Years on Record",0,"Dem",0,"2","ideology"
"19.3...651","I CONSENT to take part in the study. I am 18 or older, and I understand my rights in this study.","Republican","Republican","conservative","Right or center-right","Female","8861068808","","","","","","","","","",3,"","Rep_x1","Companies are already canceling plans to move U.S. jobs abroad",-99,"Rep",0,"2","politics"
"20.3...652","I CONSENT to take part in the study. I am 18 or older, and I understand my rights in this study.","Democrat","Democrat","liberal","Left or center-left","Female","305686198","","","","","","","","","",3,"","Dem_1","Justice Dept. Officials Had Discussions About Pushing Trump Out",-99,"Dem",-1,"2","politics"
"21.3...653","I CONSENT to take part in the study. I am 18 or older, and I understand my rights in this study.","Republican","Republican","liberal","Right or center-right","Male","638715388","","","","","","","","","",3,"more favorable to Conservatives","Rep_1","Guest Kicked Out of Disneyland for Unfurling 'Trump 2020' Banner",1,"Rep",1,"2","ideology"
"22.3...654","I CONSENT to take part in the study. I am 18 or older, and I understand my rights in this study.","Republican","Republican","conservative","Right or center-right","Male","2474431563","","","","","","","","","",3,"more favorable to Liberals","Dem_1","Justice Dept. Officials Had Discussions About Pushing Trump Out",-1,"Dem",-1,"2","ideology"
"23.3...655","I CONSENT to take part in the study. I am 18 or older, and I understand my rights in this study.","Democrat","Democrat","liberal","Left or center-left","Female","3730491167","","","","","","","","","",3,"","Dem_x2","North Carolina Republicans push legislation to hobble incoming Democratic governor",-99,"Dem",1,"2","politics"
"24.3...656","I CONSENT to take part in the study. I am 18 or older, and I understand my rights in this study.","Democrat","Democrat","liberal","Left or center-left","Male","2231133706","","","","","","","","","",3,"more favorable to Liberals","Dem_8","US Budget Deficit Running 41.8 Percent above Last Year",-1,"Dem",-1,"2","ideology"
"25.3...657","I CONSENT to take part in the study. I am 18 or older, and I understand my rights in this study.","Independent","Republican","conservative","Left or center-left","Male","8937568874","","","","","","","","","",3,"more favorable to Liberals","Dem_x1","The small businesses near Trump Tower are experiencing a miniature recession",-1,"Dem",-1,"2","ideology"
"26.3...658","I CONSENT to take part in the study. I am 18 or older, and I understand my rights in this study.","Democrat","Democrat","somewhat liberal","Left or center-left","Female","6934492783","","","","","","","","","",3,"","Rep_5","Migrant Jobs Project Spends 15 Million to Employ Only 120",-99,"Rep",-1,"2","politics"
"27.3","I CONSENT to take part in the study. I am 18 or older, and I understand my rights in this study.","Republican","Republican","conservative","Right or center-right","Female","5008790866","","","","","","","","","",3,"","Dem_5","Demand for IUDs and Birth Control Implants Rose After Trump's Election Amid Insurance Concerns",-99,"Dem",1,"2","politics"
"28.3","I CONSENT to take part in the study. I am 18 or older, and I understand my rights in this study.","Other","Democrat","liberal","Left or center-left","Male","9037735313","","","","","","","","","",3,"balanced / non-political","Rep_x1","Companies are already canceling plans to move U.S. jobs abroad",0,"Rep",0,"2","ideology"
"29.3","I CONSENT to take part in the study. I am 18 or older, and I understand my rights in this study.","Democrat","Democrat","conservative","Right or center-right","Male","4263140042","","","","","","","","","",3,"balanced / non-political","Dem_x3","Trump lashes out at Vanity Fair, one day after it lambastes his restaurant",0,"Dem",0,"2","ideology"
"30.3","I CONSENT to take part in the study. I am 18 or older, and I understand my rights in this study.","Independent","Democrat","somewhat liberal","Left or center-left","Male","4454459408","","","","","","","","","",3,"","Dem_3","Trump Says South Korea is Paying $500 Million More for U.S. Troops. The Deal Says Otherwise.",-99,"Dem",0,"2","politics"
"31.3","I CONSENT to take part in the study. I am 18 or older, and I understand my rights in this study.","Independent","Democrat","somewhat liberal","Left or center-left","Male","881859437","","","","","","","","","",3,"","Rep_x3","At GOP convention finale, Donald Trump vows to protect LGBTQ community",-99,"Rep",1,"2","politics"
"32.3","I CONSENT to take part in the study. I am 18 or older, and I understand my rights in this study.","Democrat","Democrat","liberal","Left or center-left","Male","377840042","","","","","","","","","",3,"more favorable to Conservatives","Rep_5","Migrant Jobs Project Spends 15 Million to Employ Only 120",1,"Rep",1,"2","ideology"
"33.3","I CONSENT to take part in the study. I am 18 or older, and I understand my rights in this study.","Republican","Republican","conservative","Right or center-right","Female","2115576500","","","","","","","","","",3,"balanced / non-political","Dem_6","Justice Department to Award $8.3 Million to California Victims of Las Vegas Shooting",0,"Dem",0,"2","ideology"
"34.3","I CONSENT to take part in the study. I am 18 or older, and I understand my rights in this study.","Independent","Democrat","somewhat liberal","Left or center-left","Male","2503744276","","","","","","","","","",3,"","Dem_7","Nearly 400 Trump Aides Had Access to Leaked Schedules",-99,"Dem",1,"2","politics"
"35.3","I CONSENT to take part in the study. I am 18 or older, and I understand my rights in this study.","Republican","Republican","conservative","Right or center-right","Male","5525228386","","","","","","","","","",3,"balanced / non-political","Dem_6","Justice Department to Award $8.3 Million to California Victims of Las Vegas Shooting",0,"Dem",0,"2","ideology"
"36.3","I CONSENT to take part in the study. I am 18 or older, and I understand my rights in this study.","Democrat","Democrat","somewhat liberal","Left or center-left","Female","1595816040","","","","","","","","","",3,"more favorable to Conservatives","Rep_8","76 Percent of Viewers Approve President Trump's State of the Union Speech",1,"Rep",1,"2","ideology"
"37.3","I CONSENT to take part in the study. I am 18 or older, and I understand my rights in this study.","Democrat","Democrat","liberal","Left or center-left","Male","6836452498","","","","","","","","","",3,"","Dem_x2","North Carolina Republicans push legislation to hobble incoming Democratic governor",-99,"Dem",-1,"2","politics"
"38.3","I CONSENT to take part in the study. I am 18 or older, and I understand my rights in this study.","Democrat","Democrat","liberal","Left or center-left","Male","4324909835","","","","","","","","","",3,"more favorable to Conservatives","Rep_3","Ocasio-Cortez Retracts Erroneous Information About Green New Deal Backed by 2020 Democratic Candidates",1,"Rep",1,"2","ideology"
"39.3","I CONSENT to take part in the study. I am 18 or older, and I understand my rights in this study.","Democrat","Democrat","somewhat liberal","Left or center-left","Male","1526960442","","","","","","","","","",3,"more favorable to Conservatives","Dem_9","Susan Collins Raised More Money from Brett Kavanaugh Supporters than Mainers",1,"Dem",1,"2","ideology"
"40.3","I CONSENT to take part in the study. I am 18 or older, and I understand my rights in this study.","Independent","Republican","somewhat conservative","Right or center-right","Male","3191138478","","","","","","","","","",3,"","Rep_5","Migrant Jobs Project Spends 15 Million to Employ Only 120",-99,"Rep",0,"2","politics"
"41.3","I CONSENT to take part in the study. I am 18 or older, and I understand my rights in this study.","Democrat","Democrat","liberal","Left or center-left","Male","857547527","","","","","","","","","",3,"more favorable to Liberals","Rep_x3","At GOP convention finale, Donald Trump vows to protect LGBTQ community",-1,"Rep",-1,"3","ideology"
"42.3","I CONSENT to take part in the study. I am 18 or older, and I understand my rights in this study.","Independent","Democrat","liberal","Left or center-left","Male","6441079047","","","","","","","","","",3,"more favorable to Conservatives","Rep_3","Ocasio-Cortez Retracts Erroneous Information About Green New Deal Backed by 2020 Democratic Candidates",1,"Rep",1,"3","ideology"
"43.3","I CONSENT to take part in the study. I am 18 or older, and I understand my rights in this study.","Republican","Republican","conservative","Right or center-right","Male","6227991786","","","","","","","","","",3,"balanced / non-political","Dem_x2","North Carolina Republicans push legislation to hobble incoming Democratic governor",0,"Dem",0,"3","ideology"
"44.3","I CONSENT to take part in the study. I am 18 or older, and I understand my rights in this study.","Democrat","Democrat","somewhat liberal","Left or center-left","Male","1970932614","","","","","","","","","",3,"more favorable to Liberals","Dem_x1","The small businesses near Trump Tower are experiencing a miniature recession",-1,"Dem",-1,"3","ideology"
"45.3","I CONSENT to take part in the study. I am 18 or older, and I understand my rights in this study.","Republican","Republican","conservative","Left or center-left","Female","7966389940","","","","","","","","","",3,"more favorable to Liberals","Rep_9","Trump's Approval Rating among Likely Voters Soars to His Best in 23 Months at 52%",-1,"Rep",-1,"3","ideology"
"46.3","I CONSENT to take part in the study. I am 18 or older, and I understand my rights in this study.","Independent","Democrat","somewhat liberal","Left or center-left","Male","5781533262","","","","","","","","","",3,"more favorable to Conservatives","Rep_5","Migrant Jobs Project Spends 15 Million to Employ Only 120",1,"Rep",1,"3","ideology"
"47.3","I CONSENT to take part in the study. I am 18 or older, and I understand my rights in this study.","Democrat","Democrat","conservative","Right or center-right","Male","40158625","","","","","","","","","",3,"balanced / non-political","Dem_x3","Trump lashes out at Vanity Fair, one day after it lambastes his restaurant",0,"Dem",0,"3","ideology"
"48.3","I CONSENT to take part in the study. I am 18 or older, and I understand my rights in this study.","Democrat","Democrat","somewhat liberal","Right or center-right","Male","6811185586","","","","","","","","","",3,"more favorable to Liberals","Dem_1","Justice Dept. Officials Had Discussions About Pushing Trump Out",-1,"Dem",-1,"3","ideology"
"49.3","I CONSENT to take part in the study. I am 18 or older, and I understand my rights in this study.","Democrat","Democrat","somewhat liberal","Right or center-right","Male","8023070139","","","","","","","","","",3,"more favorable to Liberals","Dem_9","Susan Collins Raised More Money from Brett Kavanaugh Supporters than Mainers",-1,"Dem",-1,"3","ideology"
"50.3","I CONSENT to take part in the study. I am 18 or older, and I understand my rights in this study.","Republican","Republican","conservative","Right or center-right","Male","9049552171","","","","","","","","","",3,"more favorable to Conservatives","Dem_3","Trump Says South Korea is Paying $500 Million More for U.S. Troops. The Deal Says Otherwise.",1,"Dem",1,"3","ideology"
"51.3","I CONSENT to take part in the study. I am 18 or older, and I understand my rights in this study.","Independent","Republican","somewhat conservative","Left or center-left","Male","9474815181","","","","","","","","","",3,"more favorable to Conservatives","Dem_3","Trump Says South Korea is Paying $500 Million More for U.S. Troops. The Deal Says Otherwise.",1,"Dem",1,"3","ideology"
"52.3","I CONSENT to take part in the study. I am 18 or older, and I understand my rights in this study.","Independent","Republican","somewhat conservative","Right or center-right","Female","5848867190","","","","","","","","","",3,"balanced / non-political","Rep_4","Investors Pulled Record $25 Billion from US Stock ETFs in January",0,"Rep",0,"3","ideology"
"53.3","I CONSENT to take part in the study. I am 18 or older, and I understand my rights in this study.","Other","Democrat","somewhat liberal","Left or center-left","Male","6457157540","","","","","","","","","",3,"more favorable to Conservatives","Rep_x3","At GOP convention finale, Donald Trump vows to protect LGBTQ community",1,"Rep",1,"3","ideology"
"54.3","I CONSENT to take part in the study. I am 18 or older, and I understand my rights in this study.","Republican","Republican","somewhat conservative","Right or center-right","Female","2797102183","","","","","","","","","",3,"balanced / non-political","Rep_9","Trump's Approval Rating among Likely Voters Soars to His Best in 23 Months at 52%",0,"Rep",0,"3","ideology"
"55.3","I CONSENT to take part in the study. I am 18 or older, and I understand my rights in this study.","Democrat","Democrat","somewhat conservative","Right or center-right","Female","4129996840","","","","","","","","","",3,"more favorable to Conservatives","Dem_6","Justice Department to Award $8.3 Million to California Victims of Las Vegas Shooting",1,"Dem",1,"3","ideology"
"56.3","I CONSENT to take part in the study. I am 18 or older, and I understand my rights in this study.","Republican","Republican","conservative","Right or center-right","Male","3006568090","","","","","","","","","",3,"more favorable to Conservatives","Rep_10","Islamic State is 100 Percent Defeated",1,"Rep",1,"3","ideology"
"1.4...689","I CONSENT to take part in the study. I am 18 or older, and I understand my rights in this study.","Independent","Republican","somewhat conservative","Right or center-right","Male","7905533542","","","","","","","","","",4,"","Rep_8","76 Percent of Viewers Approve President Trump's State of the Union Speech",-99,"Rep",1,"2","politics"
"2.4...690","I CONSENT to take part in the study. I am 18 or older, and I understand my rights in this study.","Independent","Democrat","somewhat conservative","Right or center-right","Female","2295178008","","","","","","","","","",4,"","Dem_2","Undeniable Warming: The Planet's Hottest Five Years on Record",-99,"Dem",0,"2","politics"
"3.4...691","I CONSENT to take part in the study. I am 18 or older, and I understand my rights in this study.","Democrat","Democrat","liberal","Left or center-left","Male","8338427706","","","","","","","","","",4,"balanced / non-political","Dem_1","Justice Dept. Officials Had Discussions About Pushing Trump Out",0,"Dem",0,"2","ideology"
"4.4...692","I CONSENT to take part in the study. I am 18 or older, and I understand my rights in this study.","Republican","Republican","conservative","Right or center-right","Female","2716234843","","","","","","","","","",4,"more favorable to Liberals","Dem_7","Nearly 400 Trump Aides Had Access to Leaked Schedules",-1,"Dem",-1,"2","ideology"
"5.4...693","I CONSENT to take part in the study. I am 18 or older, and I understand my rights in this study.","Republican","Republican","somewhat conservative","Right or center-right","Male","1269469289","","","","","","","","","",4,"","Rep_2","Northam Got Nearly $2 Million in Donations from Planned Parenthood",-99,"Rep",-1,"2","politics"
"6.4...694","I CONSENT to take part in the study. I am 18 or older, and I understand my rights in this study.","Democrat","Democrat","liberal","Left or center-left","Male","7576383082","","","","","","","","","",4,"","Dem_8","US Budget Deficit Running 41.8 Percent above Last Year",-99,"Dem",-1,"2","politics"
"7.4...695","I CONSENT to take part in the study. I am 18 or older, and I understand my rights in this study.","Democrat","Democrat","liberal","Left or center-left","Female","5903513641","","","","","","","","","",4,"more favorable to Conservatives","Dem_9","Susan Collins Raised More Money from Brett Kavanaugh Supporters than Mainers",1,"Dem",1,"2","ideology"
"8.4...696","I CONSENT to take part in the study. I am 18 or older, and I understand my rights in this study.","Democrat","Democrat","somewhat liberal","Left or center-left","Male","869536526","","","","","","","","","",4,"more favorable to Conservatives","Rep_x2","Dems scramble to prevent their own from defecting to Trump",1,"Rep",1,"2","ideology"
"9.4...697","I CONSENT to take part in the study. I am 18 or older, and I understand my rights in this study.","Democrat","Democrat","somewhat liberal","Left or center-left","Male","3777612108","","","","","","","","","",4,"","Rep_3","Ocasio-Cortez Retracts Erroneous Information About Green New Deal Backed by 2020 Democratic Candidates",-99,"Rep",-1,"2","politics"
"10.4...698","I CONSENT to take part in the study. I am 18 or older, and I understand my rights in this study.","Democrat","Democrat","somewhat conservative","Right or center-right","Male","9040488801","","","","","","","","","",4,"balanced / non-political","Rep_1","Guest Kicked Out of Disneyland for Unfurling 'Trump 2020' Banner",0,"Rep",0,"2","ideology"
"11.4...699","I CONSENT to take part in the study. I am 18 or older, and I understand my rights in this study.","Democrat","Democrat","somewhat liberal","Left or center-left","Male","5722454837","","","","","","","","","",4,"","Rep_4","Investors Pulled Record $25 Billion from US Stock ETFs in January",-99,"Rep",0,"2","politics"
"12.4...700","I CONSENT to take part in the study. I am 18 or older, and I understand my rights in this study.","Democrat","Democrat","somewhat conservative","Right or center-right","Male","5121010677","","","","","","","","","",4,"","Dem_8","US Budget Deficit Running 41.8 Percent above Last Year",-99,"Dem",0,"2","politics"
"13.4...701","I CONSENT to take part in the study. I am 18 or older, and I understand my rights in this study.","Republican","Republican","conservative","Right or center-right","Male","3693651091","","","","","","","","","",4,"more favorable to Liberals","Dem_3","Trump Says South Korea is Paying $500 Million More for U.S. Troops. The Deal Says Otherwise.",-1,"Dem",-1,"2","ideology"
"14.4...702","I CONSENT to take part in the study. I am 18 or older, and I understand my rights in this study.","Republican","Republican","conservative","Right or center-right","Male","6406100467","","","","","","","","","",4,"","Dem_9","Susan Collins Raised More Money from Brett Kavanaugh Supporters than Mainers",-99,"Dem",1,"2","politics"
"15.4...703","I CONSENT to take part in the study. I am 18 or older, and I understand my rights in this study.","Independent","Republican","somewhat conservative","Right or center-right","Other","5381216262","","","","","","","","","",4,"","Rep_6","Illegal Immigration Expected to Hit Highest Level Since George W. Bush",-99,"Rep",1,"2","politics"
"16.4...704","I CONSENT to take part in the study. I am 18 or older, and I understand my rights in this study.","Democrat","Democrat","somewhat liberal","Left or center-left","Female","4395935228","","","","","","","","","",4,"","Dem_x3","Trump lashes out at Vanity Fair, one day after it lambastes his restaurant",-99,"Dem",-1,"2","politics"
"17.4...705","I CONSENT to take part in the study. I am 18 or older, and I understand my rights in this study.","Republican","Republican","somewhat liberal","Left or center-left","Male","5070985486","","","","","","","","","",4,"more favorable to Liberals","Dem_1","Justice Dept. Officials Had Discussions About Pushing Trump Out",-1,"Dem",-1,"2","ideology"
"18.4...706","I CONSENT to take part in the study. I am 18 or older, and I understand my rights in this study.","Democrat","Democrat","liberal","Left or center-left","Male","1687962804","","","","","","","","","",4,"balanced / non-political","Rep_1","Guest Kicked Out of Disneyland for Unfurling 'Trump 2020' Banner",0,"Rep",0,"2","ideology"
"19.4...707","I CONSENT to take part in the study. I am 18 or older, and I understand my rights in this study.","Republican","Republican","conservative","Right or center-right","Female","8861068808","","","","","","","","","",4,"","Rep_4","Investors Pulled Record $25 Billion from US Stock ETFs in January",-99,"Rep",0,"2","politics"
"20.4...708","I CONSENT to take part in the study. I am 18 or older, and I understand my rights in this study.","Democrat","Democrat","liberal","Left or center-left","Female","305686198","","","","","","","","","",4,"","Rep_4","Investors Pulled Record $25 Billion from US Stock ETFs in January",-99,"Rep",0,"2","politics"
"21.4...709","I CONSENT to take part in the study. I am 18 or older, and I understand my rights in this study.","Republican","Republican","liberal","Right or center-right","Male","638715388","","","","","","","","","",4,"more favorable to Conservatives","Rep_x1","Companies are already canceling plans to move U.S. jobs abroad",1,"Rep",1,"2","ideology"
"22.4...710","I CONSENT to take part in the study. I am 18 or older, and I understand my rights in this study.","Republican","Republican","conservative","Right or center-right","Male","2474431563","","","","","","","","","",4,"balanced / non-political","Rep_x3","At GOP convention finale, Donald Trump vows to protect LGBTQ community",0,"Rep",0,"2","ideology"
"23.4...711","I CONSENT to take part in the study. I am 18 or older, and I understand my rights in this study.","Democrat","Democrat","liberal","Left or center-left","Female","3730491167","","","","","","","","","",4,"","Dem_4","Since Parkland There's Been a School Shooting, on Average, Every 12 Days",-99,"Dem",0,"2","politics"
"24.4...712","I CONSENT to take part in the study. I am 18 or older, and I understand my rights in this study.","Democrat","Democrat","liberal","Left or center-left","Male","2231133706","","","","","","","","","",4,"more favorable to Conservatives","Rep_x3","At GOP convention finale, Donald Trump vows to protect LGBTQ community",1,"Rep",1,"2","ideology"
"25.4...713","I CONSENT to take part in the study. I am 18 or older, and I understand my rights in this study.","Independent","Republican","conservative","Left or center-left","Male","8937568874","","","","","","","","","",4,"more favorable to Conservatives","Rep_2","Northam Got Nearly $2 Million in Donations from Planned Parenthood",1,"Rep",1,"2","ideology"
"26.4...714","I CONSENT to take part in the study. I am 18 or older, and I understand my rights in this study.","Democrat","Democrat","somewhat liberal","Left or center-left","Female","6934492783","","","","","","","","","",4,"","Rep_x2","Dems scramble to prevent their own from defecting to Trump",-99,"Rep",1,"2","politics"
"27.4","I CONSENT to take part in the study. I am 18 or older, and I understand my rights in this study.","Republican","Republican","conservative","Right or center-right","Female","5008790866","","","","","","","","","",4,"","Dem_x1","The small businesses near Trump Tower are experiencing a miniature recession",-99,"Dem",-1,"2","politics"
"28.4","I CONSENT to take part in the study. I am 18 or older, and I understand my rights in this study.","Other","Democrat","liberal","Left or center-left","Male","9037735313","","","","","","","","","",4,"more favorable to Liberals","Dem_3","Trump Says South Korea is Paying $500 Million More for U.S. Troops. The Deal Says Otherwise.",-1,"Dem",-1,"2","ideology"
"29.4","I CONSENT to take part in the study. I am 18 or older, and I understand my rights in this study.","Democrat","Democrat","conservative","Right or center-right","Male","4263140042","","","","","","","","","",4,"more favorable to Liberals","Rep_3","Ocasio-Cortez Retracts Erroneous Information About Green New Deal Backed by 2020 Democratic Candidates",-1,"Rep",-1,"2","ideology"
"30.4","I CONSENT to take part in the study. I am 18 or older, and I understand my rights in this study.","Independent","Democrat","somewhat liberal","Left or center-left","Male","4454459408","","","","","","","","","",4,"","Dem_x3","Trump lashes out at Vanity Fair, one day after it lambastes his restaurant",-99,"Dem",0,"2","politics"
"31.4","I CONSENT to take part in the study. I am 18 or older, and I understand my rights in this study.","Independent","Democrat","somewhat liberal","Left or center-left","Male","881859437","","","","","","","","","",4,"","Rep_3","Ocasio-Cortez Retracts Erroneous Information About Green New Deal Backed by 2020 Democratic Candidates",-99,"Rep",1,"2","politics"
"32.4","I CONSENT to take part in the study. I am 18 or older, and I understand my rights in this study.","Democrat","Democrat","liberal","Left or center-left","Male","377840042","","","","","","","","","",4,"more favorable to Conservatives","Rep_8","76 Percent of Viewers Approve President Trump's State of the Union Speech",1,"Rep",1,"2","ideology"
"33.4","I CONSENT to take part in the study. I am 18 or older, and I understand my rights in this study.","Republican","Republican","conservative","Right or center-right","Female","2115576500","","","","","","","","","",4,"more favorable to Conservatives","Dem_9","Susan Collins Raised More Money from Brett Kavanaugh Supporters than Mainers",1,"Dem",1,"2","ideology"
"34.4","I CONSENT to take part in the study. I am 18 or older, and I understand my rights in this study.","Independent","Democrat","somewhat liberal","Left or center-left","Male","2503744276","","","","","","","","","",4,"","Dem_6","Justice Department to Award $8.3 Million to California Victims of Las Vegas Shooting",-99,"Dem",0,"2","politics"
"35.4","I CONSENT to take part in the study. I am 18 or older, and I understand my rights in this study.","Republican","Republican","conservative","Right or center-right","Male","5525228386","","","","","","","","","",4,"more favorable to Liberals","Rep_6","Illegal Immigration Expected to Hit Highest Level Since George W. Bush",-1,"Rep",-1,"2","ideology"
"36.4","I CONSENT to take part in the study. I am 18 or older, and I understand my rights in this study.","Democrat","Democrat","somewhat liberal","Left or center-left","Female","1595816040","","","","","","","","","",4,"more favorable to Liberals","Rep_x3","At GOP convention finale, Donald Trump vows to protect LGBTQ community",-1,"Rep",-1,"2","ideology"
"37.4","I CONSENT to take part in the study. I am 18 or older, and I understand my rights in this study.","Democrat","Democrat","liberal","Left or center-left","Male","6836452498","","","","","","","","","",4,"","Dem_2","Undeniable Warming: The Planet's Hottest Five Years on Record",-99,"Dem",-1,"2","politics"
"38.4","I CONSENT to take part in the study. I am 18 or older, and I understand my rights in this study.","Democrat","Democrat","liberal","Left or center-left","Male","4324909835","","","","","","","","","",4,"balanced / non-political","Rep_x1","Companies are already canceling plans to move U.S. jobs abroad",0,"Rep",0,"2","ideology"
"39.4","I CONSENT to take part in the study. I am 18 or older, and I understand my rights in this study.","Democrat","Democrat","somewhat liberal","Left or center-left","Male","1526960442","","","","","","","","","",4,"balanced / non-political","Dem_6","Justice Department to Award $8.3 Million to California Victims of Las Vegas Shooting",0,"Dem",0,"2","ideology"
"40.4","I CONSENT to take part in the study. I am 18 or older, and I understand my rights in this study.","Independent","Republican","somewhat conservative","Right or center-right","Male","3191138478","","","","","","","","","",4,"","Dem_x1","The small businesses near Trump Tower are experiencing a miniature recession",-99,"Dem",-1,"2","politics"
"41.4","I CONSENT to take part in the study. I am 18 or older, and I understand my rights in this study.","Democrat","Democrat","liberal","Left or center-left","Male","857547527","","","","","","","","","",4,"more favorable to Conservatives","Dem_5","Demand for IUDs and Birth Control Implants Rose After Trump's Election Amid Insurance Concerns",1,"Dem",1,"3","ideology"
"42.4","I CONSENT to take part in the study. I am 18 or older, and I understand my rights in this study.","Independent","Democrat","liberal","Left or center-left","Male","6441079047","","","","","","","","","",4,"more favorable to Liberals","Rep_x3","At GOP convention finale, Donald Trump vows to protect LGBTQ community",-1,"Rep",-1,"3","ideology"
"43.4","I CONSENT to take part in the study. I am 18 or older, and I understand my rights in this study.","Republican","Republican","conservative","Right or center-right","Male","6227991786","","","","","","","","","",4,"more favorable to Liberals","Dem_3","Trump Says South Korea is Paying $500 Million More for U.S. Troops. The Deal Says Otherwise.",-1,"Dem",-1,"3","ideology"
"44.4","I CONSENT to take part in the study. I am 18 or older, and I understand my rights in this study.","Democrat","Democrat","somewhat liberal","Left or center-left","Male","1970932614","","","","","","","","","",4,"balanced / non-political","Rep_8","76 Percent of Viewers Approve President Trump's State of the Union Speech",0,"Rep",0,"3","ideology"
"45.4","I CONSENT to take part in the study. I am 18 or older, and I understand my rights in this study.","Republican","Republican","conservative","Left or center-left","Female","7966389940","","","","","","","","","",4,"balanced / non-political","Dem_8","US Budget Deficit Running 41.8 Percent above Last Year",0,"Dem",0,"3","ideology"
"46.4","I CONSENT to take part in the study. I am 18 or older, and I understand my rights in this study.","Independent","Democrat","somewhat liberal","Left or center-left","Male","5781533262","","","","","","","","","",4,"more favorable to Liberals","Dem_x2","North Carolina Republicans push legislation to hobble incoming Democratic governor",-1,"Dem",-1,"3","ideology"
"47.4","I CONSENT to take part in the study. I am 18 or older, and I understand my rights in this study.","Democrat","Democrat","conservative","Right or center-right","Male","40158625","","","","","","","","","",4,"more favorable to Liberals","Rep_x2","Dems scramble to prevent their own from defecting to Trump",-1,"Rep",-1,"3","ideology"
"48.4","I CONSENT to take part in the study. I am 18 or older, and I understand my rights in this study.","Democrat","Democrat","somewhat liberal","Right or center-right","Male","6811185586","","","","","","","","","",4,"more favorable to Liberals","Rep_10","Islamic State is 100 Percent Defeated",-1,"Rep",-1,"3","ideology"
"49.4","I CONSENT to take part in the study. I am 18 or older, and I understand my rights in this study.","Democrat","Democrat","somewhat liberal","Right or center-right","Male","8023070139","","","","","","","","","",4,"balanced / non-political","Rep_9","Trump's Approval Rating among Likely Voters Soars to His Best in 23 Months at 52%",0,"Rep",0,"3","ideology"
"50.4","I CONSENT to take part in the study. I am 18 or older, and I understand my rights in this study.","Republican","Republican","conservative","Right or center-right","Male","9049552171","","","","","","","","","",4,"more favorable to Conservatives","Rep_x1","Companies are already canceling plans to move U.S. jobs abroad",1,"Rep",1,"3","ideology"
"51.4","I CONSENT to take part in the study. I am 18 or older, and I understand my rights in this study.","Independent","Republican","somewhat conservative","Left or center-left","Male","9474815181","","","","","","","","","",4,"balanced / non-political","Dem_4","Since Parkland There's Been a School Shooting, on Average, Every 12 Days",0,"Dem",0,"3","ideology"
"52.4","I CONSENT to take part in the study. I am 18 or older, and I understand my rights in this study.","Independent","Republican","somewhat conservative","Right or center-right","Female","5848867190","","","","","","","","","",4,"more favorable to Conservatives","Rep_x3","At GOP convention finale, Donald Trump vows to protect LGBTQ community",1,"Rep",1,"3","ideology"
"53.4","I CONSENT to take part in the study. I am 18 or older, and I understand my rights in this study.","Other","Democrat","somewhat liberal","Left or center-left","Male","6457157540","","","","","","","","","",4,"balanced / non-political","Dem_x2","North Carolina Republicans push legislation to hobble incoming Democratic governor",0,"Dem",0,"3","ideology"
"54.4","I CONSENT to take part in the study. I am 18 or older, and I understand my rights in this study.","Republican","Republican","somewhat conservative","Right or center-right","Female","2797102183","","","","","","","","","",4,"more favorable to Liberals","Dem_6","Justice Department to Award $8.3 Million to California Victims of Las Vegas Shooting",-1,"Dem",-1,"3","ideology"
"55.4","I CONSENT to take part in the study. I am 18 or older, and I understand my rights in this study.","Democrat","Democrat","somewhat conservative","Right or center-right","Female","4129996840","","","","","","","","","",4,"more favorable to Liberals","Rep_8","76 Percent of Viewers Approve President Trump's State of the Union Speech",-1,"Rep",-1,"3","ideology"
"56.4","I CONSENT to take part in the study. I am 18 or older, and I understand my rights in this study.","Republican","Republican","conservative","Right or center-right","Male","3006568090","","","","","","","","","",4,"more favorable to Liberals","Rep_x2","Dems scramble to prevent their own from defecting to Trump",-1,"Rep",-1,"3","ideology"
