study,group,question,answer,submit_time,source,source_politics,source_alignment,headline,headline_type,headline_politics,headline_alignment,subject_id,subject_politics,demo_party,demo_ideology,demo_ideology_forced,demo_gender,demo_education,demo_birthyear,demo_age,relevant_for_analysis,source_familiarity,source_trust,source_trust_num
Study 1,bonus,14,FALSE,8.546,nyt,liberal,FALSE,Rep_2,Rep,conservative,TRUE,study_1_95,conservative,Democrat,conservative,Right or center-right,Male,"Bachelor’s degree (e.g. BA, BS)",1990,29,TRUE,yes,Somewhat,0.5
Study 1,control,14,TRUE,9.797,fox,conservative,TRUE,Rep_3,Rep,conservative,TRUE,study_1_99,conservative,Republican,conservative,Right or center-right,Female,High school degree or equivalent (e.g. GED),1968,51,TRUE,yes,Somewhat,0.5
Study 1,control,14,FALSE,8.04,nyt,liberal,FALSE,Dem_3,Dem,liberal,FALSE,study_1_113,conservative,Independent,somewhat conservative,Right or center-right,Female,"Master’s degree (e.g. MA, MS)",1983,36,TRUE,yes,Somewhat,0.5
Study 1,control,14,FALSE,12.189,nyt,liberal,TRUE,Rep_3,Rep,conservative,FALSE,study_1_120,liberal,Democrat,somewhat liberal,Left or center-left,Male,"Bachelor’s degree (e.g. BA, BS)",1968,51,TRUE,yes,Somewhat,0.5
Study 1,control,14,FALSE,6.774,fox,conservative,FALSE,Rep_2,Rep,conservative,FALSE,study_1_121,liberal,Republican,conservative,Left or center-left,Male,"Bachelor’s degree (e.g. BA, BS)",1993,26,TRUE,yes,Somewhat,0.5
Study 1,control,14,TRUE,10.866,nyt,liberal,FALSE,Rep_3,Rep,conservative,TRUE,study_1_122,conservative,Republican,conservative,Right or center-right,Male,"Bachelor’s degree (e.g. BA, BS)",1988,31,TRUE,yes,Entirely,1
Study 1,bonus,14,TRUE,7.643,nyt,liberal,TRUE,Rep_1,Rep,conservative,FALSE,study_1_124,liberal,Independent,somewhat liberal,Left or center-left,Female,High school degree or equivalent (e.g. GED),1962,57,TRUE,yes,Not at all,0
Study 1,bonus,14,TRUE,6.72,nyt,liberal,FALSE,Rep_1,Rep,conservative,TRUE,study_1_126,conservative,Republican,conservative,Right or center-right,Male,High school degree or equivalent (e.g. GED),1986,33,TRUE,yes,Not at all,0
Study 1,bonus,14,TRUE,9.135,fox,conservative,FALSE,Dem_1,Dem,liberal,TRUE,study_1_128,liberal,Independent,liberal,Left or center-left,Male,"Bachelor’s degree (e.g. BA, BS)",1978,41,TRUE,yes,Not at all,0
Study 1,bonus,14,FALSE,6.908,nyt,liberal,TRUE,Rep_3,Rep,conservative,FALSE,study_1_130,liberal,Democrat,liberal,Left or center-left,Male,"Bachelor’s degree (e.g. BA, BS)",1979,40,TRUE,yes,A lot,0.75
Study 1,control,14,TRUE,14.002,fox,conservative,FALSE,Dem_3,Dem,liberal,TRUE,study_1_131,liberal,Democrat,somewhat liberal,Left or center-left,Male,"Bachelor’s degree (e.g. BA, BS)",1981,38,TRUE,yes,Barely,0.25
Study 1,bonus,14,FALSE,10.501,fox,conservative,TRUE,Rep_1,Rep,conservative,TRUE,study_1_132,conservative,Republican,conservative,Right or center-right,Female,"Bachelor’s degree (e.g. BA, BS)",1993,26,TRUE,no,A lot,0.75
Study 1,bonus,14,TRUE,8.446,nyt,liberal,FALSE,Dem_2,Dem,liberal,FALSE,study_1_133,conservative,Republican,conservative,Right or center-right,Male,"Bachelor’s degree (e.g. BA, BS)",1987,32,TRUE,yes,A lot,0.75
Study 1,bonus,14,TRUE,7.66,nyt,liberal,TRUE,Dem_3,Dem,liberal,TRUE,study_1_138,liberal,Independent,somewhat liberal,Left or center-left,Male,"Bachelor’s degree (e.g. BA, BS)",1968,51,TRUE,yes,Somewhat,0.5
Study 1,control,14,FALSE,12.328,nyt,liberal,TRUE,Dem_1,Dem,liberal,TRUE,study_1_139,liberal,Republican,conservative,Left or center-left,Male,"Master’s degree (e.g. MA, MS)",1988,31,TRUE,yes,Entirely,1
Study 1,control,14,FALSE,8.981,fox,conservative,FALSE,Dem_1,Dem,liberal,TRUE,study_1_144,liberal,Democrat,liberal,Left or center-left,Male,"Bachelor’s degree (e.g. BA, BS)",1982,37,TRUE,yes,Barely,0.25
Study 1,bonus,14,TRUE,8.481,nyt,liberal,TRUE,Rep_3,Rep,conservative,FALSE,study_1_146,liberal,Independent,liberal,Left or center-left,Female,"Associate degree (e.g. AA, AS)",1981,38,TRUE,yes,A lot,0.75
Study 1,control,14,FALSE,15.212,nyt,liberal,FALSE,Rep_3,Rep,conservative,TRUE,study_1_149,conservative,Republican,conservative,Right or center-right,Female,"Associate degree (e.g. AA, AS)",1991,28,TRUE,yes,Barely,0.25
Study 1,bonus,14,TRUE,8.576,nyt,liberal,FALSE,Rep_3,Rep,conservative,TRUE,study_1_155,conservative,Republican,conservative,Right or center-right,Male,"Bachelor’s degree (e.g. BA, BS)",1987,32,TRUE,yes,Entirely,1
Study 1,bonus,14,TRUE,6.862,fox,conservative,TRUE,Rep_3,Rep,conservative,TRUE,study_1_161,conservative,Republican,conservative,Right or center-right,Male,"Associate degree (e.g. AA, AS)",1971,48,TRUE,yes,Barely,0.25
Study 1,bonus,14,TRUE,6.924,fox,conservative,TRUE,Dem_3,Dem,liberal,FALSE,study_1_163,conservative,Independent,conservative,Right or center-right,Female,"Associate degree (e.g. AA, AS)",1969,50,TRUE,yes,Somewhat,0.5
Study 1,control,14,TRUE,6.528,fox,conservative,TRUE,Rep_1,Rep,conservative,TRUE,study_1_164,conservative,Republican,conservative,Right or center-right,Female,"Bachelor’s degree (e.g. BA, BS)",1984,35,TRUE,yes,A lot,0.75
Study 1,control,14,TRUE,8.324,fox,conservative,FALSE,Rep_2,Rep,conservative,FALSE,study_1_166,liberal,Democrat,liberal,Left or center-left,Female,"Bachelor’s degree (e.g. BA, BS)",1982,37,TRUE,yes,Not at all,0
Study 1,bonus,14,FALSE,8.6,nyt,liberal,FALSE,Rep_2,Rep,conservative,TRUE,study_1_169,conservative,Republican,conservative,Right or center-right,Female,"Associate degree (e.g. AA, AS)",1984,35,TRUE,yes,Not at all,0
Study 1,bonus,14,TRUE,11.738,fox,conservative,FALSE,Rep_3,Rep,conservative,FALSE,study_1_173,liberal,Independent,somewhat liberal,Left or center-left,Female,"Bachelor’s degree (e.g. BA, BS)",1980,39,TRUE,yes,Entirely,1
Study 1,bonus,14,TRUE,8.825,nyt,liberal,FALSE,Dem_3,Dem,liberal,FALSE,study_1_177,conservative,Independent,somewhat conservative,Right or center-right,Male,High school degree or equivalent (e.g. GED),1990,29,TRUE,yes,A lot,0.75
Study 1,control,14,TRUE,7.644,fox,conservative,TRUE,Dem_2,Dem,liberal,FALSE,study_1_180,conservative,Republican,conservative,Right or center-right,Female,"Professional degree (e.g. MD, JD)",1982,37,TRUE,yes,A lot,0.75
Study 1,control,14,TRUE,7.546,fox,conservative,FALSE,Dem_1,Dem,liberal,TRUE,study_1_182,liberal,Republican,conservative,Left or center-left,Male,"Professional degree (e.g. MD, JD)",1984,35,TRUE,yes,A lot,0.75
Study 1,control,14,TRUE,6.192,nyt,liberal,TRUE,Dem_1,Dem,liberal,TRUE,study_1_183,liberal,Democrat,liberal,Left or center-left,Male,"Associate degree (e.g. AA, AS)",1995,24,TRUE,yes,Barely,0.25
Study 1,control,14,FALSE,11.787,fox,conservative,TRUE,Rep_1,Rep,conservative,TRUE,study_1_185,conservative,Republican,conservative,Right or center-right,Male,"Bachelor’s degree (e.g. BA, BS)",1987,32,TRUE,yes,Entirely,1
Study 1,control,14,FALSE,7.594,nyt,liberal,TRUE,Dem_3,Dem,liberal,TRUE,study_1_195,liberal,Democrat,somewhat conservative,Left or center-left,Male,"Associate degree (e.g. AA, AS)",1992,27,TRUE,yes,Not at all,0
Study 1,bonus,14,TRUE,11.303,fox,conservative,FALSE,Rep_1,Rep,conservative,FALSE,study_1_199,liberal,Independent,no opinion,Left or center-left,Male,"Bachelor’s degree (e.g. BA, BS)",1981,38,TRUE,yes,Not at all,0
Study 1,bonus,14,TRUE,8.528,fox,conservative,TRUE,Rep_1,Rep,conservative,TRUE,study_1_202,conservative,Democrat,somewhat conservative,Right or center-right,Male,"Bachelor’s degree (e.g. BA, BS)",1991,28,TRUE,yes,Somewhat,0.5
Study 1,control,14,FALSE,6.565,fox,conservative,FALSE,Rep_1,Rep,conservative,FALSE,study_1_203,liberal,Democrat,somewhat liberal,Left or center-left,Male,"Associate degree (e.g. AA, AS)",1972,47,TRUE,yes,Barely,0.25
Study 1,bonus,14,TRUE,15.028,nyt,liberal,TRUE,Rep_3,Rep,conservative,FALSE,study_1_207,liberal,Republican,somewhat liberal,Left or center-left,Female,"Bachelor’s degree (e.g. BA, BS)",1973,46,TRUE,yes,A lot,0.75
Study 1,control,14,TRUE,9.358,nyt,liberal,FALSE,Rep_2,Rep,conservative,TRUE,study_1_209,conservative,Republican,somewhat conservative,Right or center-right,Female,"Bachelor’s degree (e.g. BA, BS)",1962,57,TRUE,yes,Not at all,0
Study 1,bonus,14,TRUE,13.24,fox,conservative,FALSE,Rep_1,Rep,conservative,FALSE,study_1_210,liberal,Democrat,liberal,Left or center-left,Male,High school degree or equivalent (e.g. GED),1987,32,TRUE,yes,Barely,0.25
Study 1,control,14,TRUE,10.882,fox,conservative,FALSE,Rep_3,Rep,conservative,FALSE,study_1_218,liberal,Democrat,somewhat liberal,Left or center-left,Male,"Bachelor’s degree (e.g. BA, BS)",1987,32,TRUE,yes,Somewhat,0.5
Study 1,control,14,TRUE,6.726,fox,conservative,FALSE,Dem_1,Dem,liberal,TRUE,study_1_222,liberal,Independent,liberal,Left or center-left,Female,"Doctorate (e.g. PhD, EdD)",1962,57,TRUE,yes,Not at all,0
Study 1,control,14,FALSE,8.718,nyt,liberal,FALSE,Dem_1,Dem,liberal,FALSE,study_1_228,conservative,Independent,conservative,Right or center-right,Male,High school degree or equivalent (e.g. GED),1961,58,TRUE,yes,Not at all,0
Study 1,bonus,14,TRUE,8.497,nyt,liberal,FALSE,Rep_1,Rep,conservative,TRUE,study_1_232,conservative,Republican,conservative,Right or center-right,Female,"Associate degree (e.g. AA, AS)",1976,43,TRUE,yes,Not at all,0
Study 1,control,14,TRUE,6.366,nyt,liberal,TRUE,Dem_2,Dem,liberal,TRUE,study_1_233,liberal,Democrat,liberal,Left or center-left,Male,High school degree or equivalent (e.g. GED),1988,31,TRUE,yes,Entirely,1
Study 1,bonus,14,FALSE,8.884,nyt,liberal,TRUE,Rep_2,Rep,conservative,FALSE,study_1_235,liberal,Independent,liberal,Left or center-left,Female,"Bachelor’s degree (e.g. BA, BS)",1981,38,TRUE,yes,Entirely,1
Study 1,control,14,TRUE,7.5,nyt,liberal,FALSE,Dem_1,Dem,liberal,FALSE,study_1_237,conservative,Democrat,liberal,Right or center-right,Female,"Associate degree (e.g. AA, AS)",1967,52,TRUE,yes,Entirely,1
Study 1,control,14,TRUE,6.394,nyt,liberal,FALSE,Dem_2,Dem,liberal,FALSE,study_1_238,conservative,Republican,conservative,Right or center-right,Male,"Bachelor’s degree (e.g. BA, BS)",1990,29,TRUE,yes,Somewhat,0.5
Study 1,bonus,14,TRUE,6.591,nyt,liberal,TRUE,Dem_1,Dem,liberal,TRUE,study_1_255,liberal,Other,conservative,Left or center-left,Male,"Associate degree (e.g. AA, AS)",1987,32,TRUE,yes,A lot,0.75
Study 1,control,14,TRUE,9.216,nyt,liberal,TRUE,Rep_3,Rep,conservative,FALSE,study_1_258,liberal,Independent,somewhat liberal,Left or center-left,Male,"Bachelor’s degree (e.g. BA, BS)",1985,34,TRUE,yes,Somewhat,0.5
Study 1,bonus,14,TRUE,15.141,nyt,liberal,FALSE,Dem_2,Dem,liberal,FALSE,study_1_260,conservative,Independent,somewhat conservative,Right or center-right,Male,"Bachelor’s degree (e.g. BA, BS)",1985,34,TRUE,yes,Somewhat,0.5
Study 1,control,14,FALSE,8.444,nyt,liberal,TRUE,Rep_2,Rep,conservative,FALSE,study_1_263,liberal,Democrat,somewhat liberal,Left or center-left,Female,"Bachelor’s degree (e.g. BA, BS)",1996,23,TRUE,yes,Somewhat,0.5
Study 1,control,14,FALSE,7.284,fox,conservative,TRUE,Dem_2,Dem,liberal,FALSE,study_1_267,conservative,Republican,conservative,Right or center-right,Male,"Bachelor’s degree (e.g. BA, BS)",1991,28,TRUE,yes,Entirely,1
Study 1,control,14,TRUE,6.356,nyt,liberal,TRUE,Rep_1,Rep,conservative,FALSE,study_1_268,liberal,Independent,somewhat liberal,Left or center-left,Female,"Associate degree (e.g. AA, AS)",1991,28,TRUE,yes,A lot,0.75
Study 1,bonus,14,FALSE,6.611,fox,conservative,FALSE,Rep_2,Rep,conservative,FALSE,study_1_274,liberal,Democrat,liberal,Left or center-left,Male,"Associate degree (e.g. AA, AS)",1978,41,TRUE,yes,Barely,0.25
Study 1,bonus,14,FALSE,6.841,fox,conservative,FALSE,Rep_2,Rep,conservative,FALSE,study_1_276,liberal,Democrat,liberal,Left or center-left,Male,High school degree or equivalent (e.g. GED),1968,51,TRUE,yes,Not at all,0
Study 1,bonus,14,TRUE,7.152,nyt,liberal,FALSE,Rep_2,Rep,conservative,TRUE,study_1_277,conservative,Independent,somewhat conservative,Right or center-right,Male,"Bachelor’s degree (e.g. BA, BS)",1956,63,TRUE,yes,A lot,0.75
Study 1,bonus,14,TRUE,15.106,fox,conservative,FALSE,Dem_2,Dem,liberal,TRUE,study_1_278,liberal,Democrat,liberal,Left or center-left,Female,High school degree or equivalent (e.g. GED),1992,27,TRUE,yes,Not at all,0
Study 1,control,14,FALSE,12.506,nyt,liberal,TRUE,Dem_2,Dem,liberal,TRUE,study_1_279,liberal,Democrat,somewhat liberal,Left or center-left,Male,"Bachelor’s degree (e.g. BA, BS)",1984,35,TRUE,yes,A lot,0.75
Study 1,control,14,TRUE,9.064,fox,conservative,FALSE,Dem_1,Dem,liberal,TRUE,study_1_281,liberal,Independent,liberal,Left or center-left,Female,"Bachelor’s degree (e.g. BA, BS)",1976,43,TRUE,yes,Not at all,0
Study 1,bonus,14,TRUE,13.35,nyt,liberal,FALSE,Dem_2,Dem,liberal,FALSE,study_1_283,conservative,Independent,conservative,Right or center-right,Female,"Associate degree (e.g. AA, AS)",1984,35,TRUE,yes,Somewhat,0.5
Study 1,control,14,FALSE,8.458,fox,conservative,FALSE,Rep_3,Rep,conservative,FALSE,study_1_284,liberal,Democrat,somewhat liberal,Left or center-left,Male,"Master’s degree (e.g. MA, MS)",1988,31,TRUE,yes,A lot,0.75
Study 1,control,14,FALSE,7.943,fox,conservative,TRUE,Dem_3,Dem,liberal,FALSE,study_1_286,conservative,Republican,conservative,Right or center-right,Female,"Associate degree (e.g. AA, AS)",1981,38,TRUE,yes,Somewhat,0.5
Study 1,control,14,TRUE,7.483,fox,conservative,FALSE,Rep_1,Rep,conservative,FALSE,study_1_289,liberal,Democrat,liberal,Left or center-left,Female,"Bachelor’s degree (e.g. BA, BS)",1982,37,TRUE,yes,Barely,0.25
Study 1,bonus,14,TRUE,7.041,fox,conservative,TRUE,Dem_3,Dem,liberal,FALSE,study_1_290,conservative,Republican,conservative,Right or center-right,Female,High school degree or equivalent (e.g. GED),1983,36,TRUE,yes,Somewhat,0.5
Study 1,bonus,14,TRUE,7.494,nyt,liberal,TRUE,Dem_2,Dem,liberal,TRUE,study_1_302,liberal,Democrat,liberal,Left or center-left,Male,"Bachelor’s degree (e.g. BA, BS)",1974,45,TRUE,yes,A lot,0.75
Study 1,control,14,FALSE,9.375,nyt,liberal,TRUE,Rep_3,Rep,conservative,FALSE,study_1_303,liberal,Democrat,somewhat liberal,Left or center-left,Male,High school degree or equivalent (e.g. GED),1989,30,TRUE,no,Not at all,0
Study 1,bonus,14,TRUE,7.82,fox,conservative,TRUE,Dem_3,Dem,liberal,FALSE,study_1_306,conservative,Republican,conservative,Right or center-right,Female,"Bachelor’s degree (e.g. BA, BS)",1969,50,TRUE,yes,Entirely,1
Study 1,control,14,FALSE,8.978,nyt,liberal,FALSE,Dem_1,Dem,liberal,FALSE,study_1_310,conservative,Independent,somewhat liberal,Right or center-right,Female,"Master’s degree (e.g. MA, MS)",1989,30,TRUE,yes,A lot,0.75
Study 1,control,14,FALSE,7.8,nyt,liberal,TRUE,Dem_2,Dem,liberal,TRUE,study_1_311,liberal,Democrat,somewhat liberal,Left or center-left,Male,High school degree or equivalent (e.g. GED),1985,34,TRUE,yes,A lot,0.75
Study 1,bonus,14,TRUE,6.868,nyt,liberal,FALSE,Dem_1,Dem,liberal,FALSE,study_1_316,conservative,Independent,conservative,Right or center-right,Male,"Bachelor’s degree (e.g. BA, BS)",1987,32,TRUE,yes,Somewhat,0.5
Study 1,control,14,TRUE,6.577,fox,conservative,FALSE,Dem_3,Dem,liberal,TRUE,study_1_317,liberal,Republican,somewhat conservative,Left or center-left,Male,"Bachelor’s degree (e.g. BA, BS)",1981,38,TRUE,yes,A lot,0.75
Study 1,control,14,TRUE,8.073,nyt,liberal,FALSE,Rep_1,Rep,conservative,TRUE,study_1_320,conservative,Republican,conservative,Right or center-right,Female,High school degree or equivalent (e.g. GED),1979,40,TRUE,yes,A lot,0.75
Study 1,bonus,14,TRUE,8.183,fox,conservative,TRUE,Rep_2,Rep,conservative,TRUE,study_1_324,conservative,Republican,conservative,Right or center-right,Female,High school degree or equivalent (e.g. GED),1988,31,TRUE,yes,Barely,0.25
Study 1,control,14,FALSE,6.748,nyt,liberal,FALSE,Rep_2,Rep,conservative,TRUE,study_1_338,conservative,Independent,somewhat conservative,Right or center-right,Male,"Master’s degree (e.g. MA, MS)",1966,53,TRUE,yes,Barely,0.25
Study 1,control,14,TRUE,7.413,fox,conservative,FALSE,Dem_3,Dem,liberal,TRUE,study_1_341,liberal,Independent,somewhat liberal,Left or center-left,Male,"Bachelor’s degree (e.g. BA, BS)",1971,48,TRUE,yes,Barely,0.25
Study 1,bonus,14,TRUE,6.982,nyt,liberal,TRUE,Dem_3,Dem,liberal,TRUE,study_1_343,liberal,Independent,somewhat liberal,Left or center-left,Female,"Bachelor’s degree (e.g. BA, BS)",1969,50,TRUE,yes,Somewhat,0.5
Study 1,bonus,14,TRUE,7.833,fox,conservative,TRUE,Rep_1,Rep,conservative,TRUE,study_1_345,conservative,Republican,conservative,Right or center-right,Male,"Bachelor’s degree (e.g. BA, BS)",1979,40,TRUE,yes,Entirely,1
Study 1,bonus,14,TRUE,9.219,nyt,liberal,TRUE,Rep_1,Rep,conservative,FALSE,study_1_350,liberal,Democrat,liberal,Left or center-left,Female,High school degree or equivalent (e.g. GED),1956,63,TRUE,yes,A lot,0.75
Study 1,control,14,FALSE,7.832,nyt,liberal,TRUE,Dem_2,Dem,liberal,TRUE,study_1_351,liberal,Republican,somewhat liberal,Left or center-left,Female,High school degree or equivalent (e.g. GED),1982,37,TRUE,yes,A lot,0.75
Study 1,bonus,14,TRUE,7.638,fox,conservative,TRUE,Dem_3,Dem,liberal,FALSE,study_1_356,conservative,Republican,conservative,Right or center-right,Male,High school degree or equivalent (e.g. GED),1971,48,TRUE,yes,A lot,0.75
Study 1,bonus,14,TRUE,15.111,nyt,liberal,TRUE,Dem_3,Dem,liberal,TRUE,study_1_361,liberal,Democrat,liberal,Left or center-left,Male,High school degree or equivalent (e.g. GED),1989,30,TRUE,yes,Somewhat,0.5
Study 1,bonus,14,TRUE,6.142,nyt,liberal,FALSE,Dem_3,Dem,liberal,FALSE,study_1_364,conservative,Independent,somewhat conservative,Right or center-right,Male,"Professional degree (e.g. MD, JD)",1984,35,TRUE,yes,A lot,0.75
Study 1,control,14,FALSE,5.978,fox,conservative,TRUE,Rep_3,Rep,conservative,TRUE,study_1_366,conservative,Independent,conservative,Right or center-right,Male,"Bachelor’s degree (e.g. BA, BS)",1990,29,TRUE,yes,Somewhat,0.5
Study 1,control,14,TRUE,6.509,fox,conservative,FALSE,Dem_2,Dem,liberal,TRUE,study_1_370,liberal,Republican,somewhat conservative,Left or center-left,Male,"Bachelor’s degree (e.g. BA, BS)",1982,37,TRUE,yes,Somewhat,0.5
Study 1,control,14,TRUE,8.16,fox,conservative,FALSE,Dem_2,Dem,liberal,TRUE,study_1_372,liberal,Independent,somewhat liberal,Left or center-left,Male,"Bachelor’s degree (e.g. BA, BS)",1957,62,TRUE,yes,Somewhat,0.5
Study 1,bonus,14,TRUE,14.543,nyt,liberal,FALSE,Dem_3,Dem,liberal,FALSE,study_1_378,conservative,Republican,somewhat conservative,Right or center-right,Male,"Master’s degree (e.g. MA, MS)",1982,37,TRUE,yes,Entirely,1
Study 1,control,14,FALSE,7.317,nyt,liberal,FALSE,Dem_1,Dem,liberal,FALSE,study_1_380,conservative,Republican,somewhat conservative,Right or center-right,Female,"Bachelor’s degree (e.g. BA, BS)",1962,57,TRUE,yes,Somewhat,0.5
Study 1,control,14,FALSE,7.526,fox,conservative,TRUE,Dem_1,Dem,liberal,FALSE,study_1_388,conservative,Republican,somewhat conservative,Right or center-right,Female,High school degree or equivalent (e.g. GED),1980,39,TRUE,yes,A lot,0.75
Study 1,control,14,FALSE,8.085,nyt,liberal,FALSE,Dem_3,Dem,liberal,FALSE,study_1_389,conservative,Republican,conservative,Right or center-right,Male,"Bachelor’s degree (e.g. BA, BS)",1974,45,TRUE,yes,Not at all,0
Study 1,control,15,TRUE,6.434,fox,conservative,FALSE,Dem_1,Dem,liberal,TRUE,study_1_3,liberal,Independent,somewhat liberal,Left or center-left,Male,"Bachelor’s degree (e.g. BA, BS)",1984,35,TRUE,yes,Somewhat,0.5
Study 1,bonus,15,FALSE,8.405,nyt,liberal,TRUE,Rep_1,Rep,conservative,FALSE,study_1_4,liberal,Democrat,somewhat liberal,Left or center-left,Male,"Bachelor’s degree (e.g. BA, BS)",1977,42,TRUE,yes,Entirely,1
Study 1,control,15,FALSE,7.688,fox,conservative,TRUE,Dem_1,Dem,liberal,FALSE,study_1_6,conservative,Independent,somewhat conservative,Right or center-right,Male,"Associate degree (e.g. AA, AS)",1974,45,TRUE,yes,Barely,0.25
Study 1,bonus,15,TRUE,12.076,nyt,liberal,FALSE,Dem_3,Dem,liberal,FALSE,study_1_7,conservative,Republican,somewhat conservative,Right or center-right,Male,High school degree or equivalent (e.g. GED),1999,20,TRUE,yes,Barely,0.25
Study 1,control,15,TRUE,6.474,fox,conservative,TRUE,Rep_1,Rep,conservative,TRUE,study_1_10,conservative,Independent,conservative,Right or center-right,Female,"Bachelor’s degree (e.g. BA, BS)",1981,38,TRUE,yes,Somewhat,0.5
Study 1,control,15,FALSE,6.094,nyt,liberal,TRUE,Rep_2,Rep,conservative,FALSE,study_1_12,liberal,Independent,somewhat liberal,Left or center-left,Male,"Professional degree (e.g. MD, JD)",1992,27,TRUE,yes,Somewhat,0.5
Study 1,control,15,TRUE,7.021,nyt,liberal,FALSE,Rep_2,Rep,conservative,TRUE,study_1_13,conservative,Republican,conservative,Right or center-right,Male,"Associate degree (e.g. AA, AS)",1967,52,TRUE,yes,Not at all,0
Study 1,bonus,15,TRUE,10.047,nyt,liberal,TRUE,Dem_1,Dem,liberal,TRUE,study_1_20,liberal,Independent,somewhat liberal,Left or center-left,Male,"Bachelor’s degree (e.g. BA, BS)",1988,31,TRUE,yes,Somewhat,0.5
Study 1,control,15,TRUE,7.236,fox,conservative,TRUE,Dem_2,Dem,liberal,FALSE,study_1_23,conservative,Republican,conservative,Right or center-right,Male,"Bachelor’s degree (e.g. BA, BS)",1986,33,TRUE,yes,Somewhat,0.5
Study 1,bonus,15,FALSE,8.981,nyt,liberal,TRUE,Rep_3,Rep,conservative,FALSE,study_1_29,liberal,Democrat,liberal,Left or center-left,Male,"Bachelor’s degree (e.g. BA, BS)",1990,29,TRUE,yes,A lot,0.75
Study 1,bonus,15,FALSE,7.256,fox,conservative,FALSE,Dem_3,Dem,liberal,TRUE,study_1_37,liberal,Democrat,liberal,Left or center-left,Male,"Master’s degree (e.g. MA, MS)",1983,36,TRUE,yes,Barely,0.25
Study 1,control,15,TRUE,6.869,nyt,liberal,TRUE,Dem_2,Dem,liberal,TRUE,study_1_40,liberal,Democrat,liberal,Left or center-left,Female,"Bachelor’s degree (e.g. BA, BS)",1989,30,TRUE,yes,A lot,0.75
Study 1,bonus,15,FALSE,7.285,nyt,liberal,FALSE,Rep_2,Rep,conservative,TRUE,study_1_47,conservative,Republican,somewhat conservative,Right or center-right,Male,High school degree or equivalent (e.g. GED),1975,44,TRUE,yes,A lot,0.75
Study 1,control,15,FALSE,7.842,nyt,liberal,FALSE,Dem_3,Dem,liberal,FALSE,study_1_49,conservative,Independent,no opinion,Right or center-right,Female,High school degree or equivalent (e.g. GED),1991,28,TRUE,yes,Somewhat,0.5
Study 1,control,15,TRUE,8.205,nyt,liberal,TRUE,Dem_1,Dem,liberal,TRUE,study_1_50,liberal,Independent,somewhat liberal,Left or center-left,Female,"Master’s degree (e.g. MA, MS)",1985,34,TRUE,yes,A lot,0.75
Study 1,bonus,15,FALSE,6.331,fox,conservative,TRUE,Rep_3,Rep,conservative,TRUE,study_1_51,conservative,Independent,somewhat conservative,Right or center-right,Male,"Master’s degree (e.g. MA, MS)",1987,32,TRUE,yes,Not at all,0
Study 1,control,15,FALSE,5.994,fox,conservative,FALSE,Rep_3,Rep,conservative,FALSE,study_1_60,liberal,Democrat,somewhat liberal,Left or center-left,Male,High school degree or equivalent (e.g. GED),1997,22,TRUE,yes,Barely,0.25
Study 1,bonus,15,TRUE,6.046,fox,conservative,FALSE,Rep_2,Rep,conservative,FALSE,study_1_66,liberal,Independent,liberal,Left or center-left,Male,"Bachelor’s degree (e.g. BA, BS)",1996,23,TRUE,yes,Not at all,0
Study 1,control,15,FALSE,8.548,fox,conservative,FALSE,Rep_3,Rep,conservative,FALSE,study_1_69,liberal,Independent,somewhat liberal,Left or center-left,Male,"Bachelor’s degree (e.g. BA, BS)",1989,30,TRUE,yes,Not at all,0
Study 1,bonus,15,FALSE,6.695,nyt,liberal,TRUE,Rep_2,Rep,conservative,FALSE,study_1_78,liberal,Democrat,liberal,Left or center-left,Male,High school degree or equivalent (e.g. GED),1989,30,TRUE,yes,A lot,0.75
Study 1,bonus,15,TRUE,6.411,fox,conservative,FALSE,Dem_3,Dem,liberal,TRUE,study_1_80,liberal,Democrat,somewhat liberal,Left or center-left,Male,"Bachelor’s degree (e.g. BA, BS)",1983,36,TRUE,yes,Barely,0.25
Study 1,bonus,15,TRUE,7.209,nyt,liberal,FALSE,Dem_1,Dem,liberal,FALSE,study_1_86,conservative,Republican,somewhat conservative,Right or center-right,Female,High school degree or equivalent (e.g. GED),1992,27,TRUE,yes,A lot,0.75
Study 1,control,15,TRUE,8.612,nyt,liberal,FALSE,Dem_1,Dem,liberal,FALSE,study_1_91,conservative,Republican,somewhat conservative,Right or center-right,Female,"Associate degree (e.g. AA, AS)",1953,66,TRUE,yes,Not at all,0
Study 1,bonus,15,TRUE,7.028,nyt,liberal,FALSE,Rep_1,Rep,conservative,TRUE,study_1_93,conservative,Other,somewhat conservative,Right or center-right,Female,High school degree or equivalent (e.g. GED),1984,35,TRUE,yes,Barely,0.25
Study 1,bonus,15,FALSE,7.674,nyt,liberal,TRUE,Rep_1,Rep,conservative,FALSE,study_1_97,liberal,Democrat,somewhat liberal,Left or center-left,Male,High school degree or equivalent (e.g. GED),1986,33,TRUE,yes,A lot,0.75
Study 1,control,15,TRUE,7.1,fox,conservative,TRUE,Rep_3,Rep,conservative,TRUE,study_1_101,conservative,Independent,somewhat conservative,Right or center-right,Female,"Master’s degree (e.g. MA, MS)",1949,70,TRUE,yes,Somewhat,0.5
Study 1,control,15,FALSE,8.725,fox,conservative,FALSE,Rep_2,Rep,conservative,FALSE,study_1_105,liberal,Democrat,liberal,Left or center-left,Female,"Master’s degree (e.g. MA, MS)",1979,40,TRUE,yes,Not at all,0
